id,style,situation,recipe,model,mode,preset,enhance,contrast,aspect,negative,seed,best_of_4,score_1_10,fail_tag,note
C19-R2,style-04-photoreal-film-still,Grief,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C20-R1,style-04-photoreal-film-still,Decision moment,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C20-R1,style-04-photoreal-film-still,Decision moment,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C20-R2,style-04-photoreal-film-still,Decision moment,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C20-R2,style-04-photoreal-film-still,Decision moment,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C24-R1,style-04-photoreal-film-still,Squad walk,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C24-R1,style-04-photoreal-film-still,Squad walk,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C24-R2,style-04-photoreal-film-still,Squad walk,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C24-R2,style-04-photoreal-film-still,Squad walk,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C25-R1,style-04-photoreal-film-still,Dread before an unseen threat,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C25-R1,style-04-photoreal-film-still,Dread before an unseen threat,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C25-R2,style-04-photoreal-film-still,Dread before an unseen threat,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C25-R2,style-04-photoreal-film-still,Dread before an unseen threat,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C26-R1,style-04-photoreal-film-still,"Threat revealed, partial",R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C26-R1,style-04-photoreal-film-still,"Threat revealed, partial",R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C26-R2,style-04-photoreal-film-still,"Threat revealed, mass",R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C26-R2,style-04-photoreal-film-still,"Threat revealed, mass",R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C27-R1,style-04-photoreal-film-still,Standoff / duel,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C27-R1,style-04-photoreal-film-still,Standoff / duel,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C27-R2,style-04-photoreal-film-still,Standoff / duel,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C27-R2,style-04-photoreal-film-still,Standoff / duel,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C28-R1,style-04-photoreal-film-still,Pursuit,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C28-R1,style-04-photoreal-film-still,Pursuit,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C28-R2,style-04-photoreal-film-still,Pursuit,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C28-R2,style-04-photoreal-film-still,Pursuit,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C29-R1,style-04-photoreal-film-still,Impact frame (the source),R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C29-R1,style-04-photoreal-film-still,Impact frame (the source),R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C29-R2,style-04-photoreal-film-still,Impact frame (the source),R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C29-R2,style-04-photoreal-film-still,Impact frame (the source),R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C40-R1,style-04-photoreal-film-still,The look back / look-out,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C40-R1,style-04-photoreal-film-still,The look back / look-out,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C40-R2,style-04-photoreal-film-still,The look back / look-out,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C40-R2,style-04-photoreal-film-still,The look back / look-out,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C41-R1,style-04-photoreal-film-still,The button,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C41-R1,style-04-photoreal-film-still,The button,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C41-R2,style-04-photoreal-film-still,The button,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C41-R2,style-04-photoreal-film-still,The button,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C42-R1,style-04-photoreal-film-still,Cold open,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C42-R1,style-04-photoreal-film-still,Cold open,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C42-R2,style-04-photoreal-film-still,Cold open,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C42-R2,style-04-photoreal-film-still,Cold open,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C44-R1,style-04-photoreal-film-still,World beat,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C44-R1,style-04-photoreal-film-still,World beat,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C44-R2,style-04-photoreal-film-still,World beat,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C44-R2,style-04-photoreal-film-still,World beat,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C46-R1,style-04-photoreal-film-still,Twist,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C46-R1,style-04-photoreal-film-still,Twist,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C46-R2,style-04-photoreal-film-still,Twist,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C46-R2,style-04-photoreal-film-still,Twist,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C47-R1,style-04-photoreal-film-still,Climax scale plate,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C47-R1,style-04-photoreal-film-still,Climax scale plate,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C47-R2,style-04-photoreal-film-still,Climax scale plate,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C47-R2,style-04-photoreal-film-still,Climax scale plate,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C48-R1,style-04-photoreal-film-still,Title reveal,R1,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C48-R1,style-04-photoreal-film-still,Title reveal,R1,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
C48-R2,style-04-photoreal-film-still,Title reveal,R2,Lucid Realism,Fast,None,OFF,n/a,16:9,none,random,,,,
C48-R2,style-04-photoreal-film-still,Title reveal,R2,Lucid Origin,Fast,None,OFF,Medium,16:9,none,random,,,,
